MappedinID,AreaListID_23,AreaListID_25,ChangedColumns,Name_23,Name_25,VN_23,VN_25,EN_23,EN_25,ZH_23,ZH_25,JA_23,JA_25,KO_23,KO_25
ar_609dfeae555b75ef,282,282,Name,Phòng chờ ga đi quốc nội,Khu ga đi quốc nội,Khu ga đi quốc nội,Khu ga đi quốc nội,Domestic Departure Lounge,Domestic Departure Lounge,国内出发候机室,国内出发候机室,国内線出発ラウンジ,国内線出発ラウンジ,국내선 출발 라운지,국내선 출발 라운지
ar_94d47534dac8f29e,280,280,Name|VN,Phòng chờ ga đi quốc nội,Khu ga đi quốc nội,Phòng chờ ga đi quốc nội,Khu ga đi quốc nội,Domestic Departure Lounge,Domestic Departure Lounge,国内出发候机室,国内出发候机室,国内線出発ラウンジ,国内線出発ラウンジ,국내선 출발 라운지,국내선 출발 라운지
ar_b6805ba02dd5abab,283,283,Name,Phòng chờ ga đi quốc nội,Khu ga đi quốc nội,Khu ga đi quốc nội,Khu ga đi quốc nội,Domestic Departure Lounge,Domestic Departure Lounge,国内出发候机室,国内出发候机室,国内線出発ラウンジ,国内線出発ラウンジ,국내선 출발 라운지,국내선 출발 라운지
ar_f7b316f41cac3eb7,281,281,Name,Phòng chờ ga đi quốc nội,Khu ga đi quốc nội,Khu ga đi quốc nội,Khu ga đi quốc nội,Domestic Departure Lounge,Domestic Departure Lounge,国内出发候机室,国内出发候机室,国内線出発ラウンジ,国内線出発ラウンジ,국내선 출발 라운지,국내선 출발 라운지
e_001ce4cb42b325b9,1765,1765,Name,e_001ce4cb42b325b9,N,N,N,N,N,,,,,,
e_00bcdf85955fb6af,951,951,Name,e_00bcdf85955fb6af,N,N,N,N,N,,,,,,
e_0113c7667ff9e30b,1267,1267,Name,e_0113c7667ff9e30b,N,N,N,N,N,,,,,,
e_01333d257831d6e2,2359,2359,Name,e_01333d257831d6e2,N,N,N,N,N,,,,,,
e_013489d65469046d,1739,1739,Name,e_013489d65469046d,N,N,N,N,N,,,,,,
e_018e9c2385dad60c,901,901,Name,e_018e9c2385dad60c,N,N,N,N,N,,,,,,
e_03ba791bb9bcb424,1814,1814,Name,e_03ba791bb9bcb424,N,N,N,N,N,,,,,,
e_03d8897659c07aee,1678,1678,Name,e_03d8897659c07aee,N,N,N,N,N,,,,,,
e_04cc043b47e5dc5d,1022,1022,Name,e_04cc043b47e5dc5d,N,N,N,N,N,,,,,,
e_0684ff4cf60de71b,1805,1805,Name,e_0684ff4cf60de71b,N,N,N,N,N,,,,,,
e_06cb49334cdddd77,1685,1685,Name,e_06cb49334cdddd77,N,N,N,N,N,,,,,,
e_075fb855aa11d07d,1242,1242,Name,e_075fb855aa11d07d,N,N,N,N,N,,,,,,
e_07906759fbdc96dd,859,859,Name,e_07906759fbdc96dd,N,N,N,N,N,,,,,,
e_086336bea3d78fb4,782,782,Name,e_086336bea3d78fb4,N,N,N,N,N,,,,,,
e_09293489c40e409f,1673,1673,Name,e_09293489c40e409f,N,N,N,N,N,,,,,,
e_094c89955cd8f274,1059,1059,Name,e_094c89955cd8f274,N,N,N,N,N,,,,,,
e_099aeca2efc89d8f,1730,1730,Name,e_099aeca2efc89d8f,N,N,N,N,N,,,,,,
e_09d10ff800fe3f43,736,736,Name,e_09d10ff800fe3f43,N,N,N,N,N,,,,,,
e_09ddcb92896caf7f,818,818,Name,e_09ddcb92896caf7f,N,N,N,N,N,,,,,,
e_0a55615dc5a0ce5f,843,843,Name,e_0a55615dc5a0ce5f,N,N,N,N,N,,,,,,
e_0a857c25c94d9624,817,817,Name,e_0a857c25c94d9624,N,N,N,N,N,,,,,,
e_0a8b4f3d47c0384e,1122,1122,Name,e_0a8b4f3d47c0384e,N,N,N,N,N,,,,,,
e_0aae06456523484a,819,819,Name,e_0aae06456523484a,N,N,N,N,N,,,,,,
e_0b5dc8a9447b6f35,1652,1652,Name,e_0b5dc8a9447b6f35,N,N,N,N,N,,,,,,
e_0b5e2926e90a2fca,2373,2373,Name,e_0b5e2926e90a2fca,N,N,N,N,N,,,,,,
e_0b9de588d7de8c90,895,895,Name,e_0b9de588d7de8c90,N,N,N,N,N,,,,,,
e_0bba2c5b6d5c677d,1180,1180,Name,e_0bba2c5b6d5c677d,N,N,N,N,N,,,,,,
e_0bc514e39e9c866c,1794,1794,Name,e_0bc514e39e9c866c,N,N,N,N,N,,,,,,
e_0c3402a0dc097c7b,923,923,Name,e_0c3402a0dc097c7b,N,N,N,N,N,,,,,,
e_0cfe33dcca20c622,989,989,Name,e_0cfe33dcca20c622,N,N,N,N,N,,,,,,
e_0dc6fbcb3e9ebc17,993,993,Name,e_0dc6fbcb3e9ebc17,N,N,N,N,N,,,,,,
e_0e451b808cd4f034,1636,1636,Name,e_0e451b808cd4f034,N,N,N,N,N,,,,,,
e_0e49c11f81a7e4bb,1753,1753,Name,e_0e49c11f81a7e4bb,N,N,N,N,N,,,,,,
e_0e6e9948163ee088,1044,1044,Name,e_0e6e9948163ee088,N,N,N,N,N,,,,,,
e_0e7ff9a8bd8eff1e,1189,1189,Name,e_0e7ff9a8bd8eff1e,N,N,N,N,N,,,,,,
e_0ed064b01b318571,1804,1804,Name,e_0ed064b01b318571,N,N,N,N,N,,,,,,
e_0ef9c56b9b07af26,1104,1104,Name,e_0ef9c56b9b07af26,N,N,N,N,N,,,,,,
e_0f98a0000baa1d08,921,921,Name,e_0f98a0000baa1d08,N,N,N,N,N,,,,,,
e_0fb53269dfcc8363,1661,1661,Name,e_0fb53269dfcc8363,N,N,N,N,N,,,,,,
e_0fe070ce974aa7d5,1608,1608,Name,e_0fe070ce974aa7d5,N,N,N,N,N,,,,,,
e_0ff3a64989f89ea0,856,856,Name,e_0ff3a64989f89ea0,N,N,N,N,N,,,,,,
e_0ffce07e80c1ccde,831,831,Name,e_0ffce07e80c1ccde,N,N,N,N,N,,,,,,
e_10de86792b3f3efd,1752,1752,Name,e_10de86792b3f3efd,N,N,N,N,N,,,,,,
e_112c989219b180d1,2394,2394,Name,e_112c989219b180d1,N,N,N,N,N,,,,,,
e_11cc08edbad34f77,841,841,Name,e_11cc08edbad34f77,N,N,N,N,N,,,,,,
e_11f611a5cc2a29a3,1053,1053,Name,e_11f611a5cc2a29a3,N,N,N,N,N,,,,,,
e_1225c41d25c1e81e,1221,1221,Name,e_1225c41d25c1e81e,N,N,N,N,N,,,,,,
e_12c395606cf2acf6,871,871,Name,e_12c395606cf2acf6,N,N,N,N,N,,,,,,
e_13a230d9f8812882,934,934,Name,e_13a230d9f8812882,N,N,N,N,N,,,,,,
e_146856eaca08bb73,1705,1705,Name,e_146856eaca08bb73,N,N,N,N,N,,,,,,
e_14d881f842d609fa,796,796,Name,e_14d881f842d609fa,N,N,N,N,N,,,,,,
e_1528597c8e29d1c3,933,933,Name,e_1528597c8e29d1c3,N,N,N,N,N,,,,,,
e_157f7996be731645,1653,1653,Name,e_157f7996be731645,N,N,N,N,N,,,,,,
e_172d175763dd6c95,1737,1737,Name,e_172d175763dd6c95,N,N,N,N,N,,,,,,
e_175bc588a7e1a507,845,845,Name,e_175bc588a7e1a507,N,N,N,N,N,,,,,,
e_177df18bba25ea91,2366,2366,Name,e_177df18bba25ea91,N,N,N,N,N,,,,,,
e_17c27c3113a86d48,1216,1216,Name,e_17c27c3113a86d48,N,N,N,N,N,,,,,,
e_17c4a9864d75bebe,2361,2361,Name,e_17c4a9864d75bebe,N,N,N,N,N,,,,,,
e_185f664f386facc4,1723,1723,Name,e_185f664f386facc4,N,N,N,N,N,,,,,,
e_1a0cdbf08cc172e8,938,938,Name,e_1a0cdbf08cc172e8,N,N,N,N,N,,,,,,
e_1a132fa6167b1486,2387,2387,Name,e_1a132fa6167b1486,N,N,N,N,N,,,,,,
e_1a696e5d6c1d4bdb,794,794,Name,e_1a696e5d6c1d4bdb,N,N,N,N,N,,,,,,
e_1a73b81145cbb3d7,2422,2422,Name,e_1a73b81145cbb3d7,N,N,N,N,N,,,,,,
e_1abcbd875ee5d7fe,1263,1263,Name,e_1abcbd875ee5d7fe,N,N,N,N,N,,,,,,
e_1b0a068e989a2fe9,1208,1208,Name,e_1b0a068e989a2fe9,N,N,N,N,N,,,,,,
e_1b65cad68f1931fc,1172,1172,Name,e_1b65cad68f1931fc,N,N,N,N,N,,,,,,
e_1b6d058c0e337394,2398,2398,Name,e_1b6d058c0e337394,N,N,N,N,N,,,,,,
e_1bf1d30ad2d6edfe,1758,1758,Name,e_1bf1d30ad2d6edfe,N,N,N,N,N,,,,,,
e_1c3d14cbda5bdaf8,1212,1212,Name,e_1c3d14cbda5bdaf8,N,N,N,N,N,,,,,,
e_1cb7a82dd73cda7f,1696,1696,Name,e_1cb7a82dd73cda7f,N,N,N,N,N,,,,,,
e_1ccef84e8f12e68b,1816,1816,Name,e_1ccef84e8f12e68b,N,N,N,N,N,,,,,,
e_1d946b56b6dc52ba,1823,1823,Name,e_1d946b56b6dc52ba,N,N,N,N,N,,,,,,
e_1f14f36bbdc67e72,1003,1003,Name,e_1f14f36bbdc67e72,N,N,N,N,N,,,,,,
